FullName,Email,Phone,Address,JobTitle,DateOfBirth,Age,Gender,Marriage,Children,FamilySize,Education,Income,HouseOwn,CarOwn,CallsNum,CallsMinutes,SmsSent,SmsVar,Periodicity,SlopeCalls,MobilityClusters,SocialStability,SocialExposure,SocialQuality,MobileMoneyTx,AirtimeTopups,NumFinancialAppsInstalled,NumFinancialAppsUsed,SMSTx_P2P_Count_30d,SMSTx_BillPay_Count_30d,SMSTx_Merchant_Count_30d,SMSTx_Amt_Mean_30d,SMSTx_Amt_CV_30d,SMSTx_OnTimeBillPay_Rate,SMSTx_NightShare,SM_Platforms_Installed,SM_MinutesPerDay,SM_PostsPerWeek,SM_NightUsageShare,SM_Sentiment_Polarity,Apps_TotalInstalled,Apps_SessionsPerDay,Apps_ForegroundMinPerDay,Apps_BackgroundMBPerDay,Apps_Time_ProductivityMin,Apps_Time_GamingMin,Apps_Time_FinanceMin,Apps_ChurnRate_30d,Apps_RiskyCount
Jodi Hardy,kristin65@hotmail.com,637-508-4606x6029,"USNV Brown, FPO AE 74466","Merchandiser, retail",23-08-1976,48,Male,Married,2,4,Secondary,2587,0,0,5,50,28,0.65,-2.26,-0.42,7,0.16,0.23,0.51,6,3,3,0,5,8,3,52.59,0.63,1,0.18,4,173,6,0.21,0.01,26,5,204,0,35,10,30,0.21,1
Kyle Russell,floresrobert@yahoo.com,+1-590-410-6423x362,"400 Chad Cliff Apt. 926, New Martin, SC 15633",Chief Operating Officer,01-02-1970,54,Male,Single,0,1,Secondary,1956,0,1,45,69,53,0.29,0.93,0.94,5,0.69,0.2,0.76,2,4,1,0,3,4,2,30.31,1.62,0.73,0.06,0,67,4,0.34,0.17,37,28,242,30.7,81,14,12,0.13,0
James Rhodes,watersthomas@gmail.com,001-203-799-2748,"2397 Walker Forks, Cisnerostown, SD 07294",Acupuncturist,27-12-1982,42,Male,Single,5,6,Secondary,1480,0,0,23,57,14,-2.54,-0.42,-0.52,3,0.37,0.89,0.71,4,7,0,0,3,0,1,47.26,0.4,0.81,0.19,1,206,10,0.2,0.49,27,6,274,133.3,0,28,19,0.17,0
Brian Robertson,blewis@hotmail.com,657.728.0494x07437,"USCGC Spears, FPO AA 34708",Maintenance engineer,18-02-1977,47,Male,Single,1,2,Secondary,1712,0,0,3,30,61,0.26,0.73,-0.42,6,0.05,0.73,0.67,11,7,3,1,2,0,2,31.82,0.83,0.95,0.08,5,0,1,0.08,-0.14,34,34,68,71.6,29,53,50,0.18,0
James Jones,ryan26@yahoo.com,786-547-5932,"349 Heidi Overpass Suite 200, West Trevor, GU 48285",Agricultural consultant,22-09-1973,51,Male,Married,2,3,Secondary,3319,0,0,52,41,32,-1.2,0.07,-0.77,4,0.89,0.82,0.13,3,4,2,1,7,7,2,38.93,0.78,1,0.11,5,49,0,0.31,0.65,36,40,354,196.1,32,42,17,0.06,0
Marcus Thomas,gregorymitchell@gmail.com,795.936.2353x862,"7066 Martin Lock, Vargasbury, NV 69554",Psychiatric nurse,06-08-1995,29,Male,Single,1,3,Secondary,6355,1,0,1,27,46,1.57,-0.29,-0.99,3,0.26,0.02,0.39,4,4,2,0,5,8,4,59.22,1.34,1,0.2,3,15,6,0.27,0.41,54,37,133,355.6,50,3,29,0.06,0
Mrs. Kimberly Ibarra,vevans@yahoo.com,001-559-829-4678,"9987 Smith Ports, North Donaldville, OH 16474",Clothing/textile technologist,03-07-1978,46,Female,Married,1,2,Secondary,2830,0,0,45,40,81,1.35,-0.54,0.09,4,0.89,0.77,0.57,1,3,2,0,2,6,2,28.39,0.1,0.65,0.26,3,137,16,0.31,0.56,37,42,190,98.8,79,58,0,0.02,6
Robert Booker,ginamiller@yahoo.com,001-204-494-4657x8866,"45813 Johns River Apt. 720, Danielfurt, MH 40799",Bonds trader,28-04-1969,55,Male,Married,1,3,Primary,1785,1,0,40,14,60,-0.92,0.28,0.53,3,0.99,0.95,0.7,5,1,2,0,3,2,3,22.52,1.16,0.98,0,3,170,1,0.08,0.62,39,3,71,0,4,27,47,0.01,2
Tammy Phillips,peggy03@gmail.com,412-315-6368x460,"61641 Mary Burgs, Sanderschester, AR 43394",Professor Emeritus,22-01-1991,33,Female,Married,1,2,Tertiary,3579,1,1,34,74,71,-0.45,0.74,2.13,3,0.02,0.85,0.72,3,1,0,1,1,4,5,62.93,0.05,0.79,0,3,154,6,0.38,0.29,30,19,78,183.8,41,87,40,0.07,0
Alan Deleon,melvin28@yahoo.com,(282)846-7952,"026 Jacob Land, Ericbury, MT 89169",Mental health nurse,28-08-1981,43,Female,Single,1,3,Secondary,5631,0,0,3,82,9,0.01,0.5,-0.04,2,0.61,0.57,0.08,4,2,2,3,4,1,2,39.65,0.59,0.89,0.29,5,197,0,0.07,-0.31,1,20,153,215.8,3,52,42,0.03,0
Haley Cardenas,ysolomon@yahoo.com,674-809-0781x0073,"0230 Dickson Glen, Jenniferton, OH 72765","Teacher, special educational needs",22-10-2006,18,Female,Married,3,4,Secondary,1877,1,1,5,16,37,2.94,0.73,0.77,3,0.02,0.75,0.66,3,5,0,1,2,5,5,31.95,1.51,0.77,0.07,3,111,13,0.26,0.55,24,28,0,267.5,0,17,18,0.1,1
John Gillespie,smithjessica@yahoo.com,895-729-7613x775,"41125 White Underpass Apt. 874, West Alicia, OK 20577",Museum/gallery exhibitions officer,19-07-1996,28,Female,Married,3,5,Tertiary,7040,1,0,55,53,29,1.96,0.6,-1.68,5,0.47,0.18,0.91,6,2,4,1,4,5,2,30.35,0.43,0.84,0.24,5,202,5,0.36,0.29,51,18,181,116.5,21,42,0,0.25,3
Tina Jefferson,kingamanda@gmail.com,-3853,"487 Natalie Prairie, South Sarahberg, NC 16879",Aeronautical engineer,15-06-2006,18,Female,Single,3,4,Secondary,3184,0,1,53,77,13,0.25,1.5,-0.75,5,0.35,0.24,0.2,6,4,2,3,4,2,2,15.09,1.29,0.73,0.05,2,41,10,0.13,0.09,52,18,120,224.2,49,103,32,0.19,1
Christopher Martinez,aliciaspencer@gmail.com,827-910-1714,"7971 Andrea Fields Suite 403, East Charles, NY 47831",Ranger/warden,07-03-1972,52,Male,Single,2,4,Tertiary,2039,1,0,66,42,10,-0.38,-0.73,-0.47,5,0.6,0.71,0.64,6,3,1,0,4,4,2,33.13,0.48,0.93,0.16,2,21,2,0,0.12,42,26,139,251.5,55,53,84,0.09,2
Sarah Ross,jacobhess@hotmail.com,927-409-8794,"4050 Lopez Viaduct, Debrachester, MS 86580","Development worker, international aid",04-03-1964,60,Female,Married,1,2,Secondary,8319,1,0,31,15,30,-0.07,0.31,0.49,4,0.42,0.87,0.6,4,1,1,3,2,5,0,26.36,0.37,0.81,0,2,60,5,0.12,-0.03,15,46,69,109.4,43,0,21,0.3,0
John Humphrey,michelleray@gmail.com,528.246.8734,"702 Williams Lodge Suite 921, Port Brady, SC 46733","Surveyor, mining",20-10-1996,28,Female,Single,1,3,Primary,3284,0,0,14,88,54,2.12,0.89,-0.02,3,0.63,0.55,0.52,11,7,0,1,4,5,1,34.26,0.76,0.65,0.19,2,106,8,0.1,-0.2,55,38,60,78.4,62,0,14,0.22,4
Cheryl Cox MD,sgill@hotmail.com,951-798-6151x76709,"3025 Sharp Mission Apt. 260, New Monica, MI 50759",Microbiologist,26-08-1992,32,Male,Married,4,5,Secondary,2364,1,0,35,35,49,1.11,0.45,1.22,4,0.48,0.79,0.64,7,3,1,0,4,0,6,36.27,1.59,0.8,0,2,12,8,0.37,0.06,68,22,206,0,68,53,40,0.09,3
Levi Hunter,brucekelly@yahoo.com,(689)983-9547,"16518 Aaron Camp Apt. 835, Port Colleenbury, ME 72174",Occupational psychologist,26-06-1985,39,Male,Single,2,3,Secondary,1370,1,0,66,4,3,-0.28,-1.24,-1.3,6,0.77,0.97,0.55,2,5,4,0,2,5,2,34.07,0.77,0.71,0.17,1,37,1,0.1,0.04,29,13,0,340.4,13,0,16,0.12,1
Tricia Hill,valerie57@gmail.com,715-907-2554x36648,"72111 Welch Glen, Hartmantown, NC 20717",Technical author,11-07-1990,34,Female,Married,3,5,Tertiary,3931,0,0,24,32,29,-0.41,-1.44,1.77,5,0.94,0.96,0.72,7,1,2,0,3,2,1,36.22,0.3,0.81,0,2,85,2,0.2,-0.1,65,26,138,26.3,0,45,22,0.26,2
Erik Guerra,cedwards@yahoo.com,001-640-663-0450,"07251 Boyer Estate Suite 036, Kennethmouth, LA 74904",Patent examiner,20-08-1991,33,Female,Single,3,4,Primary,5221,1,0,52,39,59,-0.65,2.58,-0.1,3,0.13,0.45,0.52,7,3,1,0,2,3,1,36.83,0.61,0.71,0.28,1,0,6,0.14,0,31,4,66,188,0,71,16,0.32,0
Melody Benson,vbarrett@gmail.com,(511)767-2050x78660,"862 Little Drives, Michaelburgh, CO 07947",Logistics and distribution manager,22-02-2003,21,Male,Married,1,2,Secondary,2149,0,1,27,28,71,-1.28,1.49,-0.46,7,0.19,0.81,0.62,5,8,1,0,1,2,3,51.62,0.7,0.79,0.28,5,181,9,0.14,0.52,27,10,344,20.5,57,74,32,0.25,0
Corey Taylor,jorge73@hotmail.com,219-587-4928,"0164 Beverly Keys Apt. 885, East Amyview, CT 16521",Special educational needs teacher,10-11-2003,21,Female,Single,2,4,Primary,1987,0,0,28,49,40,-0.37,-0.63,-1.6,1,0.13,0.83,0.53,3,9,1,0,4,5,1,13.13,1.74,0.83,0.48,0,51,9,0.36,0.36,51,38,125,374.2,39,8,21,0.18,0
David Freeman,margaret23@gmail.com,352-225-8157x7477,"81127 Dean Harbors, East Amanda, SC 21356",Secondary school teacher,05-05-1994,30,Female,Single,0,1,Tertiary,2247,1,1,3,71,35,0.1,0.39,-1.4,8,0.86,0.99,0.76,7,6,1,0,1,1,0,56.58,0.48,0.98,0,4,45,6,0.1,0.21,21,21,222,257.1,44,18,11,0.27,7
Robert Parker,sanchezjoseph@yahoo.com,001-934-430-3288x399,"011 Schwartz Union Apt. 919, Ryanfort, WI 87222","Nurse, learning disability",24-03-2006,18,Female,Single,2,3,Secondary,2634,0,0,26,55,16,-0.88,0.32,2.12,4,0.92,0.17,0.78,4,6,3,1,1,4,1,29.14,1.46,0.81,0.31,0,87,2,0.27,0.03,72,14,153,149.4,58,39,12,0.25,0
Kyle Clark,jamie08@hotmail.com,(398)562-5898,"8684 Andersen Bridge Suite 908, West Carol, MN 97935",Armed forces logistics/support/administrative officer,07-07-1993,31,Male,Single,0,1,Secondary,2877,1,0,61,103,63,-1.34,0,-0.41,4,0.68,0.62,0.74,3,8,3,0,1,4,1,22.18,0.87,0.7,0.1,5,0,4,0.21,0.22,17,25,367,8.6,5,0,28,0.16,2
Megan Hendricks,robinjennings@gmail.com,339-889-4611,"763 James Centers Apt. 534, New Christinaview, NE 41966",Ambulance person,13-09-1988,36,Male,Single,2,4,Secondary,2892,0,0,59,5,9,-0.91,0.28,-0.59,3,0.49,0.09,0.57,3,2,1,0,0,2,4,38.96,0.48,1,0.2,2,61,9,0.02,0.38,28,26,156,115.6,14,3,32,0.18,2
Frank Robbins,robinsoncurtis@gmail.com,(230)569-2059x930,"89887 Erika Track Suite 174, Halemouth, CT 15589",Dealer,18-01-1978,46,Male,Married,5,6,Secondary,3092,0,1,13,18,23,-0.72,-0.48,-0.99,4,0.36,0.97,0.05,8,7,1,0,2,2,3,53.62,0.99,0.78,0.12,0,167,3,0.17,0.45,77,12,113,27.7,34,44,0,0.32,0
Kyle Brooks,gomezpatricia@gmail.com,(723)613-3102x2466,"878 Mejia Islands, Andrewmouth, MS 79717",Archivist,22-10-2006,18,Male,Married,1,3,Primary,2983,0,0,76,49,18,-1.76,1.55,-1.43,2,0.06,0.77,0.51,4,7,2,4,0,3,2,134.97,0.15,0.71,0.31,1,25,0,0.36,0.27,18,28,108,121,59,81,18,0.14,0
Meghan Smith,garciajamie@gmail.com,+1-486-507-5508x17781,"36941 Boyd Tunnel Suite 813, Allisonbury, VI 51137",Fast food restaurant manager,24-08-1989,35,Male,Married,1,3,Tertiary,4198,1,0,8,108,35,-0.64,0.27,1.02,2,0.22,0.78,0.58,8,4,2,0,5,3,1,49.47,0.48,0.81,0.26,3,66,1,0.4,0.55,37,9,147,0,70,0,7,0.25,4
Patrick George,jason17@hotmail.com,8163434169,"Unit 2365 Box 2319, DPO AP 01867",Professor Emeritus,13-02-2002,22,Female,Married,5,7,Secondary,1061,0,0,57,77,85,0,-0.87,-0.44,3,0.08,0.34,0.84,2,4,2,0,1,4,2,104.18,0.72,0.68,0.09,5,147,0,0.16,-0.06,30,43,259,0,24,0,0,0.17,1
Krystal Yu,egardner@gmail.com,(662)694-2011x8633,"880 Gibson Knolls Apt. 162, Jessicabury, DE 03290",Oncologist,08-02-1998,26,Male,Married,0,1,Secondary,3435,1,0,47,46,14,2.28,0.15,-0.01,5,0.18,0.35,0.06,1,4,0,0,1,0,4,63.58,0.99,0.93,0,1,152,7,0.09,-0.09,64,30,197,120.7,64,35,35,0.2,0
Hannah Martinez MD,johnsondonna@gmail.com,3625607922,"01173 Victoria Plains, Anthonyshire, ID 70876",Press photographer,31-07-1995,29,Male,Single,1,2,Secondary,3093,0,0,4,71,1,-0.17,-0.55,0.4,3,0.61,0.47,0.94,5,3,1,1,6,10,2,12.9,0.86,0.83,0.12,1,39,4,0.03,-0.44,61,33,187,182.3,0,0,8,0.14,1
Tamara Davis,davidwatkins@yahoo.com,001-861-469-5807x3073,"05714 Courtney Station, West Matthewshire, CT 05209",Site engineer,01-04-1985,39,Female,Single,1,3,Secondary,4572,0,0,53,132,27,-0.85,1.08,1.13,3,0.5,0.03,0.63,7,7,2,0,1,7,2,25.1,1.17,0.82,0.17,3,172,10,0.23,0.27,47,32,211,267.3,53,39,0,0.05,2
Natasha White,terri18@hotmail.com,979-956-5806,"Unit 3259 Box 0615, DPO AE 66320",Printmaker,31-01-1984,40,Male,Single,1,3,Primary,6829,0,0,1,4,16,-2.18,0.62,-0.22,2,0.54,0.69,0.59,7,3,2,0,3,5,4,48.96,0.61,0.71,0.18,0,96,9,0.04,0.36,54,12,185,147.2,62,59,0,0.13,4
Bryan Hurst,sonyamatthews@hotmail.com,9463306315,"3004 Davis Squares Suite 776, South Devonfurt, WV 89217","Engineer, manufacturing systems",16-06-2004,20,Female,Single,1,2,Primary,968,0,0,82,28,51,-0.43,-0.79,1.88,1,0.99,0.17,0.9,0,5,1,0,7,2,3,25.83,0.8,0.97,0.15,4,121,6,0.49,-0.16,50,0,435,237.7,136,34,54,0.16,2
Michael Clarke,kathrynjackson@hotmail.com,426-403-0463,"USNV Bowman, FPO AP 11954","Scientist, research (maths)",11-04-1979,45,Female,Married,3,4,Primary,3126,1,0,37,19,1,1.05,0.24,-0.34,3,0.23,0.84,0.42,7,4,2,2,4,6,1,45.59,0.33,0.76,0.14,2,73,14,0.57,0.35,95,8,219,252.5,65,51,0,0.27,1
Kathy Walker,turnerduane@gmail.com,388.320.5234,"25138 Flynn Cove, Port Ninatown, MT 55245",Fitness centre manager,03-12-1990,34,Male,Single,0,1,Secondary,1876,0,1,1,86,16,0.76,-0.38,-0.05,6,0.61,0.53,0.36,4,8,1,0,4,6,4,48.77,0.92,0.9,0.18,4,174,7,0.39,0.3,53,7,298,309.2,61,17,68,0.16,1
Abigail West,tlucero@gmail.com,455-856-3079x8333,"8101 Lee Drive Suite 641, Joshuamouth, AL 89993","Engineer, site",26-04-1986,38,Male,Single,2,4,Secondary,2206,1,0,32,78,11,-0.67,0.22,-1.08,1,0.98,0.01,0.4,2,3,1,0,5,6,5,70.09,0.42,0.63,0.06,0,45,4,0.28,-0.13,45,54,205,74.6,29,19,24,0,1
Daniel Ellis,cynthiahoffman@gmail.com,662.811.7708,"70589 Vasquez Estates, Williamsmouth, PW 21606","Runner, broadcasting/film/video",25-09-1977,47,Male,Single,4,6,Secondary,2358,0,0,22,76,33,0.87,0.06,0.28,3,0.55,0.54,0.27,12,5,1,2,1,1,1,14.28,0.65,0.81,0.08,0,92,0,0.07,0.24,31,44,51,149.5,17,43,20,0,0
Michele Jones,fjefferson@hotmail.com,(700)865-1036x9116,"636 Linda Station, East Jonathan, OH 91401",Editorial assistant,04-02-1982,42,Male,Single,1,3,Tertiary,5000,0,1,45,115,109,0.45,0.26,-0.16,4,0.12,0.03,0,5,5,0,0,3,11,2,113.49,0.19,0.64,0.22,1,141,1,0.24,0.62,46,25,151,254.1,70,31,7,0.12,4
Raymond Anthony,joshua38@gmail.com,362-697-0564,"88578 Charles Overpass, West Johnny, OR 26964",Charity officer,11-12-1992,32,Female,Single,0,2,Primary,5096,1,1,35,30,13,-0.53,0.58,0.68,2,0.73,0.78,0.06,3,4,1,1,0,7,2,33.68,0.28,0.78,0.22,3,8,10,0.41,0.62,65,32,76,445.3,0,73,13,0.05,3
Richard Castillo,reidjulia@yahoo.com,671-378-0283x210,"58962 Margaret Square, New Dianamouth, FL 26769","Psychologist, counselling",30-11-2002,22,Male,Single,0,1,Secondary,1242,1,0,20,38,2,-0.32,0.19,0.61,2,0.39,0.64,0.56,6,5,2,0,5,4,4,67.02,1.22,0.94,0.25,3,12,5,0,0.01,85,35,175,17.7,23,74,37,0.17,0
Daniel Sanchez,nicholas25@gmail.com,001-695-580-0166x33514,"61214 Laurie Passage Apt. 871, North Andrew, FL 35982","Programmer, applications",31-08-1974,50,Female,Married,2,3,Secondary,1207,0,0,9,23,63,0.75,1.66,-1.31,2,1,0.64,0.34,5,4,0,1,4,2,5,13.64,1.07,1,0.13,1,105,5,0,0,20,39,95,392.9,0,12,10,0.21,1
Michael Ward,dlucas@yahoo.com,+1-720-776-9276x3144,"24962 Copeland Skyway, Rosefort, ME 39010",Records manager,19-04-2003,21,Male,Divorced,1,3,Secondary,2192,1,0,6,75,6,-1.07,-1.59,-0.32,3,0.37,0.9,0.54,7,0,0,0,2,3,3,34.07,0.42,1,0.01,1,156,9,0,0.08,47,27,228,29.4,54,0,3,0.23,1
Juan Villa,conleyana@gmail.com,001-844-405-8874x99898,"34627 Davis Wall, Jonesburgh, TN 04094",Leisure centre manager,08-12-1988,36,Female,Single,1,3,Primary,1436,1,1,73,46,22,1.48,-0.75,0.78,4,0.38,0.91,0.91,3,2,2,1,2,8,1,20.07,0.93,0.81,0.34,4,43,0,0.32,-0.03,14,14,221,80.6,48,49,0,0.28,5
Linda Farrell,jensenkatrina@yahoo.com,001-426-686-4128x88117,"2454 Moss Fall Suite 847, Ochoamouth, AL 45823",Illustrator,06-03-1983,41,Male,Single,5,6,Primary,3455,0,0,24,49,73,1.73,-0.81,0.93,4,0.48,0.32,0.42,3,0,1,0,6,1,2,70.68,1,1,0.12,2,104,12,0.18,0.23,54,38,84,184.7,30,31,0,0.35,0
Abigail Ewing,robinmoore@hotmail.com,001-977-678-9277x03953,"72428 Smith Knoll Suite 706, North Alicia, LA 86560",Purchasing manager,28-08-1985,39,Female,Married,0,2,Secondary,2760,0,1,34,57,73,1.72,0.85,0.89,5,0.34,0.8,0.25,6,4,2,2,1,0,1,28.4,0.68,0.77,0.08,4,123,9,0.09,0.73,17,21,176,189.7,14,39,0,0.17,3
Laura Lewis,iwhite@gmail.com,+1-980-618-4709x7698,"944 Caitlin Cove Suite 384, Greerberg, OK 30673","Engineer, biomedical",13-07-1998,26,Male,Single,0,2,Tertiary,4879,0,0,35,97,2,1.36,-0.63,0.36,10,0.9,0.67,0.72,4,6,1,0,2,6,2,146.83,0.71,0.54,0.16,5,49,11,0,0.06,12,3,263,159.7,28,75,63,0.02,0
Dylan Morton PhD,corey93@yahoo.com,-7980,"USNV Roy, FPO AP 64228",Television production assistant,19-02-1981,43,Female,Single,1,2,Secondary,2009,0,1,64,38,25,-0.16,-0.06,-0.71,3,0.82,0.82,0.79,7,5,0,0,3,4,2,23.92,0.81,0.44,0.35,3,136,16,0.16,0.37,62,24,156,316.2,48,46,15,0.06,4
Sandra Perkins,vbutler@gmail.com,(750)792-2259x4910,"535 Amy Plaza, East Patriciaburgh, SC 42489","Designer, industrial/product",09-01-2006,18,Male,Single,2,4,Primary,2011,0,1,67,22,41,-0.37,-0.21,1.02,6,0.04,0.38,0.84,2,1,0,0,2,4,4,30.32,1.56,0.47,0.14,3,69,1,0.09,-0.01,27,46,157,77.7,36,123,32,0.13,4
Lisa Lynch,peggy33@hotmail.com,6943009125,"57229 Jesus Mission Suite 212, Tamaraview, IL 71908",Software engineer,22-10-1996,28,Male,Single,2,3,Primary,4421,1,1,53,33,90,-1.95,-0.45,1.43,2,0.1,0.58,0.95,10,3,1,2,6,4,2,41.04,0.29,0.91,0.03,3,88,2,0.08,0.41,30,40,164,258.2,58,9,4,0.03,3
Brian Cantrell,victoria89@hotmail.com,499.272.3141,"Unit 6243 Box 6881, DPO AA 98352",Financial risk analyst,12-03-2000,24,Male,Single,1,2,Secondary,1236,0,1,33,69,78,1.26,-0.09,-1,6,0,0.34,0.58,4,3,3,0,4,6,0,47.52,1.04,0.91,0.12,4,135,0,0,0.31,57,50,101,0,97,0,30,0.1,3
William Schultz,victor91@hotmail.com,+1-545-551-1646x4954,"21730 Walker Loaf, Sharimouth, ND 70973",Herbalist,19-05-1987,37,Male,Married,1,2,Tertiary,4274,0,1,4,75,1,1.08,0.79,0.17,5,0.07,0.58,0.34,6,1,4,0,2,1,0,39.44,1.09,0.65,0.01,1,115,0,0,0.39,18,45,53,0,20,27,17,0.06,4
Leslie Henry,umarshall@yahoo.com,635.246.2500x18331,"Unit 8914 Box 3693, DPO AA 03384",Systems developer,16-03-1987,37,Male,Married,1,2,Secondary,4991,0,0,99,93,41,-0.35,0.64,0.4,2,0.48,0.53,0.97,3,5,1,1,3,2,3,20.88,0.47,1,0,4,49,7,0.27,0.02,15,11,193,81.6,52,57,0,0.15,2
Jessica Flores,jeffrey79@gmail.com,7372664607,"252 Cline Hollow, Smithhaven, FM 50810",Geophysicist/field seismologist,13-12-1972,52,Male,Single,0,2,Secondary,3448,1,0,23,34,55,0.71,0.13,0.15,2,0.11,0.1,0.14,11,6,0,1,0,7,0,35.53,0.7,0.57,0.19,2,24,8,0.19,0.62,63,31,0,0,36,55,3,0.03,2
Mary Turner,shannon61@hotmail.com,9174028730,"1034 Peter Throughway, East John, MD 03561","Accountant, chartered management",19-08-1981,43,Male,Single,1,3,Primary,4048,1,0,14,132,22,-1.02,-0.3,1.77,3,0.62,0.76,0.08,9,5,0,0,7,2,1,82.89,0.32,0.72,0.16,0,87,8,0.36,-0.09,16,34,207,102.4,63,14,39,0.22,0
Alec Andrade,hermangregory@hotmail.com,677.315.3465x493,"47030 Alan Rapids, East Tyler, LA 76266",Television floor manager,31-10-2006,18,Male,Married,0,1,Secondary,3667,0,1,8,90,34,0.69,0.15,0.33,2,0.81,0.9,0.33,8,3,3,2,3,4,1,54.58,0.87,0.93,0.03,1,18,9,0.23,-0.28,70,19,158,155.7,19,0,45,0.12,1
Lindsay Carter,reedchad@gmail.com,001-318-531-8512x5695,"393 Saunders Wall, Frederickmouth, DE 64102","Development worker, international aid",06-06-1996,28,Male,Single,3,5,Primary,3367,0,0,13,22,4,0.23,0.15,0.35,3,0.05,0.67,0.38,6,5,2,2,4,0,2,47.48,0.87,0.99,0,0,30,10,0.11,-0.23,56,49,284,0,5,84,38,0.15,2
Shaun Huang,ryancampos@gmail.com,001-436-775-0313x2735,"443 Cathy Port, East Francis, OK 77305",Printmaker,28-04-1977,47,Female,Married,0,2,Secondary,3172,1,0,22,65,12,-0.72,1.58,0.1,4,0.21,0.66,0.93,2,5,2,0,3,5,2,13.61,0.74,0.89,0.24,0,95,6,0.45,0.44,18,35,223,379.5,41,0,35,0.12,0
Larry Phillips,jessicarobinson@gmail.com,735.428.0755x11571,"PSC 1383, Box 1059, APO AP 61643",Social researcher,06-02-1978,46,Male,Married,1,3,Secondary,9032,0,0,4,69,23,0.48,-0.86,1.42,2,0.56,0.03,0.17,3,3,4,1,7,3,2,42.61,0.4,0.76,0.2,0,84,2,0.14,-0.15,37,16,0,335.4,12,0,17,0.29,2
Derrick Ramirez,sara09@yahoo.com,(914)820-8170x85257,"5383 Trujillo Mountains, Robinsonmouth, DE 66246",Company secretary,09-06-1987,37,Male,Single,2,4,Secondary,2666,1,0,49,52,30,-0.13,0.09,-1.35,3,0.61,0.43,0.24,3,4,1,3,3,4,2,55.13,0.69,0.77,0.05,0,27,7,0.28,-0.16,40,29,89,0,15,53,54,0.07,1
Patricia Williams,rsutton@hotmail.com,001-468-283-2388x93067,"10803 Young Island Suite 125, New Brianton, LA 19120",Hospital pharmacist,17-08-1979,45,Male,Divorced,0,2,Primary,2003,1,0,40,29,38,1.19,1.1,1.78,3,0.07,0.04,0.53,5,3,1,0,3,2,2,40.13,1.27,0.83,0.04,1,175,8,0.11,0.26,55,20,265,72.1,71,70,34,0,1
Christopher Kirk,billy96@hotmail.com,(461)397-0869x2726,"601 Keith Plaza Apt. 011, Port Fernando, LA 49221",Retail buyer,21-10-1972,52,Male,Single,2,4,Secondary,3018,1,0,73,8,30,-1.38,1.94,0.86,3,0.97,0.71,0.74,1,0,4,3,2,5,1,16.31,0.91,0.83,0.15,5,221,0,0.27,0.5,58,33,0,157.7,0,23,34,0.18,0
Timothy Tanner,timothy43@yahoo.com,750-431-2448x8968,"87726 Burnett Islands Suite 108, North Daniel, OR 53058",Passenger transport manager,24-03-1987,37,Male,Married,3,4,Primary,2611,0,0,11,1,39,-0.93,0.33,1.04,2,0.75,0.48,0.99,4,3,0,0,1,3,3,51.97,0.54,0.84,0.15,5,155,8,0.24,-0.03,49,42,8,189.4,46,21,32,0.23,5
Penny Hunter,collinhubbard@hotmail.com,-8426,"5866 Miller Glens Suite 612, Lauraland, AZ 19666",Paramedic,07-04-2006,18,Male,Single,5,6,Secondary,2537,0,0,2,47,43,-0.57,-0.03,-0.92,1,0.44,0.14,0.83,3,4,2,0,4,4,3,90.02,1.03,0.97,0.16,2,31,2,0.4,-0.28,40,30,90,290.9,20,0,33,0.04,0
Stephanie Day,donnaberg@hotmail.com,001-705-604-4659,"35377 Kelsey Trace, New Samuel, NM 82492",Interpreter,20-06-1997,27,Female,Married,2,4,Primary,5930,0,0,48,42,52,-0.99,-0.8,-0.32,5,0.11,0.13,0.64,1,1,1,0,1,7,2,55.5,0.64,0.99,0.05,2,14,10,0.28,0.08,97,15,368,168.3,73,38,0,0.23,0
Vanessa Smith,michellefrancis@gmail.com,626.471.2267,"0612 Carter Land Apt. 569, Port James, OH 40262",Volunteer coordinator,10-02-1997,27,Male,Single,0,1,Primary,2088,0,0,57,16,14,-0.52,-0.4,1.05,6,0.94,0.67,0.45,3,5,2,0,1,5,1,66.43,0.55,0.99,0.19,0,0,0,0.16,-0.04,64,23,62,460.4,3,9,18,0.14,2
Shelby Sawyer,michael87@yahoo.com,889.666.2189,"6536 Rebecca Circles, Matthewfort, NJ 80262",Probation officer,15-09-1997,27,Female,Single,1,2,Secondary,1814,0,0,3,74,44,-2.04,0.88,1.28,8,0.08,0.37,0.68,3,0,1,2,2,1,0,24.2,0.89,0.84,0.08,4,138,6,0.24,0.57,22,0,395,0,13,24,10,0.13,0
Amy Harvey,oluna@gmail.com,-5464,"936 Brian Drives Apt. 588, Lisaport, CO 85167","Merchandiser, retail",22-06-1990,34,Female,Single,0,2,Tertiary,4212,0,0,24,50,50,3.64,-0.82,1.68,2,0.92,0.18,0.72,1,0,2,0,2,2,1,43.19,1.38,0.66,0.25,2,122,9,0.2,-0.23,48,26,230,172.7,4,60,0,0.25,0
